,reinternacao
0,FC__anamnese_medica_NORMOCARDICO
1,FC__anamnese_enfermagem_BRAQUICARDIA
2,FC__anamnese_enfermagem_NORMOCARDICO
3,R__anamnese_enfermagem_DESORIENTADO
4,R__anamnese_enfermagem_LUCIDO E ORIENTADO
5,raca_cor_Branca
6,raca_cor_Preta
7,grau_instrucao
8,especialidade_internacao_vec_3
9,especialidade_internacao_vec_9
10,especialidade_internacao_vec_10
11,especialidade_internacao_vec_19
12,especialidade_internacao_vec_24
13,especialidade_internacao_vec_29
14,especialidade_internacao_vec_37
15,especialidade_internacao_vec_44
16,especialidade_internacao_vec_45
17,especialidade_internacao_vec_50
18,especialidade_internacao_vec_62
19,especialidade_internacao_vec_74
20,especialidade_internacao_vec_78
21,especialidade_internacao_vec_87
22,especialidade_internacao_vec_93
23,especialidade_internacao_vec_97
24,especialidade_internacao_vec_100
25,especialidade_internacao_vec_110
26,especialidade_internacao_vec_112
27,especialidade_internacao_vec_119
28,especialidade_internacao_vec_120
29,especialidade_internacao_vec_123
30,especialidade_internacao_vec_140
31,especialidade_internacao_vec_149
32,especialidade_internacao_vec_153
33,especialidade_internacao_vec_166
34,especialidade_internacao_vec_177
35,especialidade_internacao_vec_178
36,especialidade_internacao_vec_196
37,especialidade_internacao_vec_211
38,especialidade_internacao_vec_212
39,especialidade_internacao_vec_225
40,especialidade_internacao_vec_226
41,especialidade_internacao_vec_236
42,especialidade_internacao_vec_240
43,especialidade_internacao_vec_242
44,especialidade_internacao_vec_244
45,especialidade_internacao_vec_252
46,especialidade_internacao_vec_259
47,especialidade_internacao_vec_260
48,especialidade_internacao_vec_263
49,especialidade_internacao_vec_265
50,especialidade_internacao_vec_280
51,especialidade_internacao_vec_283
52,especialidade_internacao_vec_289
53,especialidade_internacao_vec_297
54,cid_primario_internacao_vec_0
55,cid_primario_internacao_vec_1
56,cid_primario_internacao_vec_2
57,cid_primario_internacao_vec_3
58,cid_primario_internacao_vec_4
59,cid_primario_internacao_vec_5
60,cid_primario_internacao_vec_6
61,cid_primario_internacao_vec_7
62,cid_primario_internacao_vec_8
63,cid_primario_internacao_vec_9
64,cid_primario_internacao_vec_10
65,cid_primario_internacao_vec_11
66,cid_primario_internacao_vec_12
67,cid_primario_internacao_vec_13
68,cid_primario_internacao_vec_14
69,cid_primario_internacao_vec_15
70,cid_primario_internacao_vec_16
71,cid_primario_internacao_vec_17
72,cid_primario_internacao_vec_18
73,cid_primario_internacao_vec_19
74,cid_primario_internacao_vec_20
75,cid_primario_internacao_vec_21
76,cid_primario_internacao_vec_22
77,cid_primario_internacao_vec_23
78,cid_primario_internacao_vec_24
79,cid_primario_internacao_vec_25
80,cid_primario_internacao_vec_26
81,cid_primario_internacao_vec_27
82,cid_primario_internacao_vec_28
83,cid_primario_internacao_vec_29
84,cid_primario_internacao_vec_30
85,cid_primario_internacao_vec_31
86,cid_primario_internacao_vec_32
87,cid_primario_internacao_vec_33
88,cid_primario_internacao_vec_34
89,cid_primario_internacao_vec_35
90,cid_primario_internacao_vec_36
91,cid_primario_internacao_vec_37
92,cid_primario_internacao_vec_38
93,cid_primario_internacao_vec_39
94,cid_primario_internacao_vec_40
95,cid_primario_internacao_vec_41
96,cid_primario_internacao_vec_42
97,cid_primario_internacao_vec_43
98,cid_primario_internacao_vec_44
99,cid_primario_internacao_vec_45
100,cid_primario_internacao_vec_46
101,cid_primario_internacao_vec_47
102,cid_primario_internacao_vec_48
